INFO: 	2023/12/05 22:17:59 Database connection established successfully!
INFO: 	2023/12/05 22:17:59 Migrating database...
INFO: 	2023/12/05 22:17:59 Database migrated successfully!
INFO: 	2023/12/05 22:24:01 Shutting down server...
INFO: 	2023/12/05 22:24:07 Database connection established successfully!
INFO: 	2023/12/05 22:24:07 Migrating database...
INFO: 	2023/12/05 22:24:08 Database migrated successfully!
INFO: 	2023/12/05 22:37:00 Shutting down server...
INFO: 	2023/12/06 10:04:01 Database connection established successfully!
INFO: 	2023/12/06 10:04:01 Migrating database...
INFO: 	2023/12/06 10:04:01 Database migrated successfully!
INFO: 	2023/12/06 10:04:26 Shutting down server...
INFO: 	2023/12/06 10:04:34 Database connection established successfully!
INFO: 	2023/12/06 10:04:34 Migrating database...
INFO: 	2023/12/06 10:04:35 Database migrated successfully!
INFO: 	2023/12/06 10:06:01 Shutting down server...
INFO: 	2023/12/06 10:06:08 Database connection established successfully!
INFO: 	2023/12/06 10:06:08 Migrating database...
INFO: 	2023/12/06 10:06:09 Database migrated successfully!
INFO: 	2023/12/06 10:06:20 Error when register user: ERROR: duplicate key value violates unique constraint "users_number_phone_key" (SQLSTATE 23505)
ERROR: 	2023/12/06 10:29:04 handler.go:124: Panic: runtime error: invalid memory address or nil pointer dereference
INFO: 	2023/12/06 10:30:01 Database connection established successfully!
INFO: 	2023/12/06 10:30:01 Migrating database...
INFO: 	2023/12/06 10:30:01 Database migrated successfully!
ERROR: 	2023/12/06 10:30:06 handler.go:124: Panic: runtime error: invalid memory address or nil pointer dereference
INFO: 	2023/12/06 10:35:09 Database connection established successfully!
INFO: 	2023/12/06 10:35:09 Migrating database...
INFO: 	2023/12/06 10:35:09 Database migrated successfully!
ERROR: 	2023/12/06 10:35:18 handler.go:124: Panic: runtime error: invalid memory address or nil pointer dereference
INFO: 	2023/12/06 13:15:14 Database connection established successfully!
INFO: 	2023/12/06 13:15:14 Migrating database...
INFO: 	2023/12/06 13:15:15 Database migrated successfully!
INFO: 	2023/12/06 13:15:43 Error when register user: ERROR: duplicate key value violates unique constraint "users_number_phone_key" (SQLSTATE 23505)
INFO: 	2023/12/06 13:32:01 Shutting down server...
INFO: 	2023/12/06 13:32:52 Database connection established successfully!
INFO: 	2023/12/06 13:32:52 Migrating database...
INFO: 	2023/12/06 13:32:52 Database migrated successfully!
INFO: 	2023/12/06 13:33:30 Error when register user: email already registered
INFO: 	2023/12/06 13:35:04 Shutting down server...
INFO: 	2023/12/06 13:35:11 Database connection established successfully!
INFO: 	2023/12/06 13:35:11 Migrating database...
INFO: 	2023/12/06 13:35:11 Database migrated successfully!
INFO: 	2023/12/06 13:35:24 Email sent
INFO: 	2023/12/06 13:37:22 Error when register user: email already registered
ERROR: 	2023/12/06 13:54:12 handler.go:142: Service Error: failed to get data from dataCache: Entry not found
ERROR: 	2023/12/06 14:02:23 handler.go:142: Service Error: failed to get data from dataCache: Entry not found
ERROR: 	2023/12/06 14:02:36 handler.go:142: Service Error: failed to get data from dataCache: Entry not found
INFO: 	2023/12/06 14:03:03 Error when register user: email already registered
INFO: 	2023/12/06 14:03:32 Shutting down server...
